,time,mark,ask,bid,vol
0,44318.05714841515,56089.085008,56120.66,56057.510016,0.0
1,44318.05720746264,56064.880947,56100.690724,56029.07117,0.0
2,44318.05726637404,56074.33,56101.68,56046.98,0.0
3,44318.057325319394,56070.59,56099.74,56041.44,0.0
4,44318.05738453376,56071.29821,56103.4,56039.196421,0.0
5,44318.05744357801,56074.17,56101.05,56047.29,0.0
6,44318.05750248119,56072.005,56101.44,56042.57,0.0
7,44318.05756148963,56071.31,56101.03,56041.59,0.0
8,44318.05762052963,56075.807228,56103.744457,56047.87,0.0
9,44318.05767963288,56075.169518,56109.939036,56040.4,0.0
10,44318.05773853968,56095.360771,56129.12,56061.601543,0.0
11,44318.05779757951,56079.275,56111.54,56047.01,0.0
12,44318.05785668952,56082.265,56112.09,56052.44,0.0
13,44318.05791575336,56115.425109,56152.35,56078.500218,0.0
14,44318.05797473576,56112.84,56144.16,56081.52,0.0
15,44318.05803391005,56113.765,56147.61,56079.92,0.0
16,44318.05809290805,56124.734107,56157.91,56091.558214,0.0
17,44318.05815200488,56105.581319,56138.85,56072.312638,0.0
18,44318.058211015916,56111.051604,56144.29,56077.813208,0.0
19,44318.05827010114,56115.361842,56146.103685,56084.62,0.0
20,44318.05832915131,56116.354232,56147.428465,56085.28,0.0
21,44318.0583899671,56116.895,56147.53,56086.26,0.0
22,44318.058448986885,56115.365,56146.42,56084.31,0.0
23,44318.058508101116,56113.024498,56144.808997,56081.24,0.0
24,44318.05856717278,56110.435,56144.88,56075.99,0.0
25,44318.05862621445,56105.214807,56138.409614,56072.02,0.0
26,44318.058685318894,56089.69,56122.61,56056.77,0.0
27,44318.058744438975,56091.01,56122.12,56059.9,0.0
28,44318.05880349987,56090.169734,56122.13,56058.209469,0.0
29,44318.0588623726,56090.302746,56120.335493,56060.27,0.0
30,44318.058921502874,56081.980185,56116.016575,56047.943796,0.0
31,44318.058980566275,56074.985,56108.13,56041.84,0.0
32,44318.059039533546,56075.45,56108.99,56041.91,0.0
33,44318.05909900591,56077.5,56107.46,56047.54,0.0
34,44318.05915831404,56078.739052,56111.14,56046.338104,0.0
35,44318.05921766321,56080.864905,56114.560619,56047.169191,0.0
36,44318.05927687925,56078.95,56110.24,56047.66,0.0
37,44318.05933605935,56071.015,56100.48,56041.55,0.0
38,44318.059395223034,56060.652873,56092.47,56028.835746,0.0
39,44318.059454223134,56047.23731,56074.58462,56019.89,0.0
40,44318.059513504595,56029.24,56064.61,55993.87,0.0
41,44318.0595725165,56023.45,56053.21,55993.69,0.0
42,44318.059631631295,56023.27,56047.7,55998.84,0.0
43,44318.05969064704,56021.21,56051.69,55990.73,0.0
44,44318.05974954865,56029.51,56060.77,55998.25,0.0
45,44318.05980859141,56054.748016,56083.33,56026.166032,0.0
46,44318.059867516655,56045.14,56077.2,56013.08,0.0
47,44318.059926530295,56052.01266,56086.338453,56017.686867,0.0
48,44318.05998561374,56059.507235,56094.052684,56024.961787,0.0
49,44318.06004466788,56058.49927,56092.948032,56024.050508,0.0
50,44318.06010372509,56057.864728,56090.22,56025.509456,0.0
51,44318.06016269914,56060.405818,56092.36,56028.451637,0.0
52,44318.060221744345,56095.654188,56127.55,56063.758377,0.0
53,44318.06028078394,56112.314142,56140.878285,56083.75,0.0
54,44318.06033985981,56079.71,56104.65,56054.77,0.0
55,44318.06039876228,56084.257076,56112.46,56056.054152,0.0
56,44318.06045774761,56083.929648,56109.95,56057.909297,0.0
57,44318.06051676513,56113.021716,56143.573432,56082.47,0.0
58,44318.06057573821,56117.191716,56143.573432,56090.81,0.0
59,44318.060634761,56117.176716,56143.573432,56090.78,0.0
60,44318.060693701496,56112.735,56140.2,56085.27,0.0
61,44318.06075282148,56105.12,56136.75,56073.49,0.0
62,44318.06081175422,56156.75,56179.96,56133.54,0.0
63,44318.06087073856,56148.921672,56183.22,56114.623344,0.0
64,44318.060929765015,56131.985,56157.22,56106.75,0.0
65,44318.060988769874,56143.934476,56179.608434,56108.260519,0.0
66,44318.06104789071,56132.52,56163.16,56101.88,0.0
67,44318.06110701427,56130.109309,56162.28,56097.938619,0.0
68,44318.06116597431,56137.815,56170.01,56105.62,0.0
69,44318.06122511686,56138.562294,56172.106848,56105.01774,0.0
70,44318.061284067844,56135.643199,56169.666561,56101.619838,0.0
71,44318.061343028945,56132.569457,56166.77,56098.368915,0.0
72,44318.06140195972,56132.636833,56165.02,56100.253666,0.0
73,44318.06146446409,56082.973413,56111.686826,56054.26,0.0
74,44318.061523535776,56075.307568,56107.625136,56042.99,0.0
75,44318.061582474074,56088.490686,56126.611373,56050.37,0.0
76,44318.06164189082,56076.54305,56104.206101,56048.88,0.0
77,44318.0617009269,56090.509805,56121.109611,56059.91,0.0
78,44318.06175989654,56099.008561,56133.847122,56064.17,0.0
79,44318.06181887046,56108.530441,56138.370882,56078.69,0.0
80,44318.06187798306,56085.57,56111.36,56059.78,0.0
81,44318.061936996535,56084.562143,56111.27,56057.854287,0.0
82,44318.06199607305,56076.48255,56103.11,56049.855101,0.0
83,44318.062055123446,56085.21,56108.37,56062.05,0.0
84,44318.06211407343,56076.475,56105.23,56047.72,0.0
85,44318.06217306866,56048.8,56068.42,56029.18,0.0
86,44318.06223202883,56058.185,56084.45,56031.92,0.0
87,44318.062291620685,56066.365,56086.36,56046.37,0.0
88,44318.06235078506,56052.09,56081.15,56023.03,0.0
89,44318.06240991766,56055.15,56083.3,56027.0,0.0
90,44318.062469068514,56052.13,56085.13,56019.13,0.0
91,44318.06252836642,56048.814993,56082.75,56014.879986,0.0
92,44318.06258799965,56055.079663,56087.04,56023.119327,0.0
93,44318.06264723848,56050.13,56081.22,56019.04,0.0
94,44318.06270655586,56049.51438,56079.958761,56019.07,0.0
95,44318.0627658559,56041.065682,56072.294041,56009.837323,0.0
96,44318.06282508795,56076.435462,56108.030924,56044.84,0.0
97,44318.062884423336,56085.22,56115.02,56055.42,0.0
98,44318.06294351545,56070.28,56099.17,56041.39,0.0
99,44318.06300249329,56068.165,56096.49,56039.84,0.0
100,44318.063061849214,56064.920806,56097.53,56032.311612,0.0
101,44318.063121247535,56064.49844,56096.543665,56032.453216,0.0
