,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,pp1,pp2,pp3,pp4,bin,rand,action, shares , value ,,bin,buy,hold,sell,,
0,4/20/2021 20:20,57071.05,56842.555,57192.685,56520.53,0,reg,FALSE,BTCUSD,,,,,,,,,, $100.00 ,,1,60%,40%,0%,,
1,4/20/2021 20:25,56842.555,56987.37,57183.01,55667.52,0,reg,FALSE,BTCUSD,buy,-1.157698839,,,,,,, -   , $100.00 ,,2,57%,43%,0%,,
2,4/20/2021 20:30,56855.385,56983.86,57292.77,55597.755,0,reg,FALSE,BTCUSD,hold,0.06499015,0.704268858,,,,,, -   , $100.00 ,,3,65%,35%,0%,,
3,4/20/2021 20:35,56983.86,56908.825,57267.715,55805.175,0,reg,FALSE,BTCUSD,sell,0.649320702,0.336574397,-0.211792009,,,,, -   , $100.00 ,,4,75%,25%,0%,,
4,4/20/2021 20:40,56782.71,57001.675,57198.63,55626.825,0,reg,FALSE,BTCUSD,buy,-1.020226052,-0.961658931,-0.747782398,-0.308730464,1,0.475505363,buy, 0.00176 , $-   ,,5,48%,52%,0%,,
5,4/20/2021 20:45,57001.675,56998.225,57235.55,55743.385,0,reg,FALSE,BTCUSD,sell,1.106316962,1.224888775,1.259451477,1.156166711,81,0.386027343,hold, 0.00176 , $-   ,,6,60%,40%,0%,,
6,4/20/2021 20:50,56998.225,56846.515,57182.335,55795.42,0,reg,FALSE,BTCUSD,hold,-0.017432122,-0.647279473,-1.078368912,-1.346584545,28,0.470467486,hold, 0.00176 , $-   ,,7,,,,,
7,4/20/2021 20:55,56846.515,56650.07,57219.84,55924.735,0,reg,FALSE,BTCUSD,hold,-0.768604372,-0.432675215,0.123612052,0.692341034,6,0.809718807,hold, 0.00176 , $-   ,,8,0%,100%,0%,,
8,4/20/2021 21:00,56542.385,56794.785,57205.22,55143.795,0,reg,FALSE,BTCUSD,buy,-1.549093482,-0.449561728,-0.009726631,-0.076803082,5,0.566421153,hold, 0.00176 , $-   ,,9,70%,30%,0%,,
9,4/20/2021 21:05,56637.035,56740.615,57194.945,55842.13,0,reg,FALSE,BTCUSD,hold,0.481296382,1.169504563,0.932582184,0.542769878,81,0.247670321,hold, 0.00176 , $-   ,,10,53%,47%,0%,,
10,4/20/2021 21:10,56705.51,56840.085,57232.81,56622.27961,0,reg,FALSE,BTCUSD,hold,0.347775727,-0.076907897,-0.717933576,-0.950697077,64,0.574960268,sell, -   , $99.86 ,,11,,,,,
