,time,mark,ask,bid,vol
0,44321.64664708125,57698.961203,57775.66,57622.262407,0.0
1,44321.64670604401,57666.834879,57742.699758,57590.97,0.0
2,44321.64676496057,57667.689492,57743.134758,57592.244227,0.0
3,44321.64682398101,57625.104801,57703.269603,57546.94,0.0
4,44321.6468830361,57630.995,57701.62,57560.37,0.0
5,44321.646942298954,57622.305718,57692.72,57551.891437,0.0
6,44321.64700150411,57616.12,57688.22,57544.02,0.0
7,44321.64706062845,57579.470962,57653.561924,57505.38,0.0
8,44321.64712078014,57564.279137,57641.124197,57487.434078,0.0
9,44321.64717985829,57579.680844,57651.921689,57507.44,0.0
10,44321.647238948004,57572.608807,57654.689559,57490.528056,0.0
11,44321.647298107106,57511.957475,57588.64495,57435.27,0.0
12,44321.64735775078,57514.654095,57590.028191,57439.28,0.0
13,44321.64741670197,57497.229834,57546.949669,57447.51,0.0
14,44321.647475699334,57532.287833,57609.837336,57454.73833,0.0
15,44321.647534846765,57538.044579,57614.869158,57461.22,0.0
16,44321.647593855676,57533.025,57606.32,57459.73,0.0
17,44321.647652928215,57516.529097,57593.159606,57439.898588,0.0
18,44321.64771198328,57511.961125,57586.312251,57437.61,0.0
19,44321.647771003736,57539.764715,57616.449431,57463.08,0.0
20,44321.647829920315,57548.835,57618.32,57479.35,0.0
21,44321.64789160164,57577.075907,57649.5,57504.651815,0.0
22,44321.647950783714,57574.579168,57638.02,57511.138337,0.0
23,44321.648009896504,57615.9994,57689.83,57542.168801,0.0
24,44321.648068916955,57628.111889,57702.37,57553.853778,0.0
25,44321.64813056361,57577.896101,57655.153833,57500.63837,0.0
26,44321.64818957843,57615.461977,57654.013954,57576.91,0.0
27,44321.6482490029,57611.975462,57658.790925,57565.16,0.0
28,44321.64830806953,57603.050361,57650.150723,57555.95,0.0
29,44321.648367199814,57598.799571,57677.05,57520.549143,0.0
30,44321.64842616257,57597.975,57641.18,57554.77,0.0
31,44321.64848649895,57589.94,57633.14,57546.74,0.0
32,44321.64854564637,57568.107059,57635.56,57500.654118,0.0
33,44321.648604724534,57606.53,57650.36,57562.7,0.0
34,44321.64866368728,57577.295,57621.51,57533.08,0.0
35,44321.64872273081,57616.807901,57679.865802,57553.75,0.0
36,44321.64878182053,57611.495,57661.17,57561.82,0.0
37,44321.648840967944,57594.355,57652.21,57536.5,0.0
38,44321.648899976855,57616.212764,57679.22,57553.205529,0.0
39,44321.64895903192,57602.355,57671.55,57533.16,0.0
40,44321.649018006225,57596.173339,57674.589698,57517.75698,0.0
41,44321.64907707285,57599.053262,57674.64,57523.466524,0.0
42,44321.64913613948,57601.463247,57677.606495,57525.32,0.0
43,44321.64919518301,57579.470875,57649.281751,57509.66,0.0
44,44321.6492541573,57576.17,57650.77,57501.57,0.0
45,44321.649313316266,57585.878883,57658.677766,57513.08,0.0
46,44321.64937226746,57599.96348,57678.008047,57521.918914,0.0
47,44321.649431195576,57606.28206,57684.54,57528.02412,0.0
48,44321.64949029683,57611.568771,57687.934382,57535.203161,0.0
49,44321.64954940963,57604.157759,57679.75,57528.565518,0.0
50,44321.649608510896,57605.477185,57682.13,57528.82437,0.0
51,44321.64966746207,57586.929328,57668.098688,57505.759969,0.0
52,44321.64972658642,57602.069272,57677.22,57526.918545,0.0
53,44321.64978562994,57596.239428,57665.72,57526.758857,0.0
54,44321.649844708125,57610.272764,57684.85,57535.695529,0.0
55,44321.64990369394,57635.144364,57706.54,57563.748728,0.0
56,44321.649962725925,57622.402691,57692.67,57552.135383,0.0
57,44321.650021596324,57622.612147,57700.907472,57544.316823,0.0
58,44321.65008057652,57622.51796,57698.751998,57546.283923,0.0
59,44321.65013953927,57638.368535,57713.825753,57562.911317,0.0
60,44321.65019851353,57637.229326,57711.15778,57563.300872,0.0
61,44321.65025759171,57633.285482,57705.99,57560.580964,0.0
62,44321.65031675066,57657.76,57718.48,57597.04,0.0
63,44321.65037573652,57663.38,57729.33,57597.43,0.0
64,44321.6504348724,57656.585,57715.34,57597.83,0.0
65,44321.650493973655,57658.67,57719.83,57597.51,0.0
66,44321.65055406761,57677.197603,57736.465207,57617.93,0.0
67,44321.650613088066,57557.236965,57637.443931,57477.03,0.0
68,44321.65067277802,57561.668918,57633.377837,57489.96,0.0
69,44321.65073194853,57611.904469,57670.108939,57553.7,0.0
70,44321.65079109597,57585.27,57651.94,57518.6,0.0
71,44321.65085009334,57616.304676,57682.209352,57550.4,0.0
72,44321.65090903297,57616.285,57677.8,57554.77,0.0
73,44321.65096815734,57611.534676,57682.209352,57540.86,0.0
74,44321.65102715468,57612.185,57683.09,57541.28,0.0
75,44321.65108625035,57628.21,57691.09,57565.33,0.0
76,44321.65114536316,57637.83,57698.01,57577.65,0.0
77,44321.65120442415,57604.2794,57677.8,57530.7588,0.0
78,44321.65126350233,57602.934153,57675.3,57530.568307,0.0
79,44321.651322846,57631.285374,57704.240749,57558.33,0.0
80,44321.65138188951,57637.19,57710.86,57563.52,0.0
81,44321.651440852285,57625.53,57697.07,57553.99,0.0
82,44321.65149990736,57638.375,57703.92,57572.83,0.0
83,44321.65155885855,57635.845,57700.03,57571.66,0.0
84,44321.65161784438,57614.945857,57690.491715,57539.4,0.0
85,44321.651676957175,57617.180311,57692.817375,57541.543248,0.0
86,44321.65173601226,57610.13486,57676.41,57543.85972,0.0
87,44321.65179518276,57580.49,57649.36,57511.62,0.0
88,44321.65185420322,57592.373144,57656.576288,57528.17,0.0
89,44321.651913258305,57591.43,57654.46,57528.4,0.0
90,44321.65197212871,57590.145,57653.83,57526.46,0.0
91,44321.65203124148,57600.47,57667.11,57533.83,0.0
92,44321.65209026195,57587.781265,57661.19,57514.372531,0.0
93,44321.65214932859,57596.661628,57668.2,57525.123257,0.0
94,44321.65220842981,57626.787467,57699.19,57554.384935,0.0
95,44321.65226749646,57636.954046,57708.258092,57565.65,0.0
96,44321.652326465126,57636.803505,57710.167011,57563.44,0.0
97,44321.65238550865,57636.81,57709.49,57564.13,0.0
98,44321.65244473689,57686.453243,57767.510913,57605.395574,0.0
99,44321.65250368809,57692.468619,57758.6,57626.337238,0.0
100,44321.65256275473,57693.531007,57761.78,57625.282014,0.0
101,44321.6526218098,57708.771006,57778.57,57638.972012,0.0
102,44321.6526808418,57711.649597,57785.2,57638.099194,0.0
103,44321.65273993151,57690.619822,57766.364446,57614.875199,0.0
104,44321.65279900969,57682.875873,57760.942517,57604.80923,0.0
105,44321.65285808783,57691.37552,57767.198404,57615.552636,0.0
106,44321.652917200634,57703.313112,57781.32405,57625.302174,0.0
107,44321.65297615775,57703.742316,57778.018625,57629.466008,0.0
108,44321.65303614783,57706.30857,57781.54,57631.077141,0.0
109,44321.65309506439,57693.914869,57721.799739,57666.03,0.0
110,44321.65315420027,57675.810836,57699.581673,57652.04,0.0
111,44321.65321450201,57690.884912,57714.159824,57667.61,0.0
112,44321.65327348792,57651.678707,57731.5,57571.857414,0.0
113,44321.65333325862,57670.591609,57747.458255,57593.724963,0.0
114,44321.653392232896,57682.5,57725.77,57639.23,0.0
115,44321.65345172104,57700.54,57743.82,57657.26,0.0
116,44321.65351072433,57680.087662,57727.885325,57632.29,0.0
117,44321.653569894836,57696.5,57739.78,57653.22,0.0
118,44321.653628984546,57712.3,57755.59,57669.01,0.0
119,44321.653687993465,57688.382573,57756.41,57620.355147,0.0
120,44321.653746990814,57699.394995,57765.23,57633.559991,0.0
121,44321.65380584967,57713.68,57756.97,57670.39,0.0
122,44321.65386481242,57719.305,57762.6,57676.01,0.0
123,44321.65392380978,57719.775,57763.07,57676.48,0.0
124,44321.653982899494,57723.77,57767.07,57680.47,0.0
125,44321.65404197765,57725.02,57768.32,57681.72,0.0
126,44321.65410100968,57726.53,57769.83,57683.23,0.0
127,44321.654160088125,57725.125,57774.7,57675.55,0.0
128,44321.65421906242,57713.815,57769.5,57658.13,0.0
129,44321.65427803667,57717.505574,57781.251149,57653.76,0.0
130,44321.6543370456,57713.395598,57780.991196,57645.8,0.0
131,44321.65439596216,57649.395764,57723.12,57575.671529,0.0
132,44321.65445500571,57646.24,57715.59,57576.89,0.0
133,44321.65451393381,57658.330565,57733.11,57583.55113,0.0
134,44321.65457290809,57659.082131,57735.954263,57582.21,0.0
135,44321.65463196318,57678.477363,57744.11,57612.844727,0.0
136,44321.654691006726,57666.999857,57735.03,57598.969715,0.0
137,44321.6547500504,57641.764103,57711.67,57571.858207,0.0
138,44321.65480911689,57655.56,57720.33,57590.79,0.0
139,44321.65486813732,57687.63,57745.15,57630.11,0.0
140,44321.654927169315,57670.985,57739.29,57602.68,0.0
141,44321.65498855615,57673.615,57740.06,57607.17,0.0
142,44321.655048096036,57672.768264,57738.186528,57607.35,0.0
143,44321.65510718575,57649.1,57721.12,57577.08,0.0
144,44321.655166160024,57650.18736,57726.353348,57574.021373,0.0
145,44321.65522522666,57665.98,57734.07,57597.89,0.0
146,44321.65528429923,57677.41,57743.6,57611.22,0.0
147,44321.65534423161,57686.64,57756.88,57616.4,0.0
148,44321.65540311352,57683.68,57754.61,57612.75,0.0
149,44321.65546215707,57670.32149,57738.81,57601.832981,0.0
150,44321.6555212006,57669.692233,57742.684467,57596.7,0.0
151,44321.655580255676,57655.995732,57730.75,57581.241464,0.0
152,44321.655639264594,57658.724719,57732.96,57584.489438,0.0
153,44321.655698227325,57659.614793,57735.534816,57583.69477,0.0
154,44321.655757236236,57646.51,57714.15,57578.87,0.0
155,44321.6558162567,57625.080949,57700.871899,57549.29,0.0
156,44321.65587565806,57628.317519,57699.495038,57557.14,0.0
157,44321.655934655435,57643.207758,57714.68,57571.735516,0.0
158,44321.65599371067,57655.665,57724.46,57586.87,0.0
159,44321.65605319271,57673.104347,57746.69,57599.518694,0.0
160,44321.656112213146,57669.602923,57743.04,57596.165846,0.0
161,44321.656171158735,57650.925252,57721.410504,57580.44,0.0
162,44321.65623016765,57641.635,57711.96,57571.31,0.0
163,44321.65628919964,57654.083503,57727.347006,57580.82,0.0
164,44321.656349893856,57656.2096,57731.599201,57580.82,0.0
165,44321.65640894896,57649.692184,57723.89,57575.494369,0.0
166,44321.65646806175,57665.135,57738.1,57592.17,0.0
167,44321.65652786713,57624.235,57696.56,57551.91,0.0
168,44321.65658702612,57611.775,57683.6,57539.95,0.0
169,44321.65664620819,57616.312361,57688.5,57544.124722,0.0
170,44321.65670525172,57618.12,57683.16,57553.08,0.0
171,44321.65676426061,57634.825,57706.37,57563.28,0.0
172,44321.65682335033,57651.081313,57723.78,57578.382626,0.0
173,44321.656882359246,57637.510044,57704.46,57570.560088,0.0
174,44321.65694133352,57652.13795,57722.25,57582.025901,0.0
175,44321.65700041169,57645.655,57716.56,57574.75,0.0
176,44321.65705950141,57658.019635,57731.93927,57584.1,0.0
177,44321.657120426484,57641.72085,57716.01,57567.4317,0.0
178,44321.65717948156,57601.059738,57675.69,57526.429477,0.0
179,44321.65723839813,57630.729928,57690.179857,57571.28,0.0
180,44321.657297453225,57633.71,57702.62,57564.8,0.0
181,44321.65735641593,57614.18,57680.28,57548.08,0.0
182,44321.657415713446,57621.895,57687.14,57556.65,0.0
183,44321.65747565735,57623.514928,57690.179857,57556.85,0.0
184,44321.65753509335,57622.442932,57686.375864,57558.51,0.0
185,44321.65759412535,57609.77,57677.17,57542.37,0.0
186,44321.657653699884,57610.039185,57681.008371,57539.07,0.0
187,44321.657712720335,57568.539618,57638.899237,57498.18,0.0
188,44321.65777222562,57599.575,57670.86,57528.29,0.0
189,44321.657831303775,57624.156388,57697.62,57550.692777,0.0
190,44321.657890185736,57622.971915,57696.22,57549.723831,0.0
191,44321.657949275446,57634.53,57702.86,57566.2,0.0
192,44321.65800822096,57582.934322,57645.58,57520.288645,0.0
193,44321.65806829187,57599.738922,57674.04,57525.437844,0.0
194,44321.658127358496,57627.04,57700.12,57553.96,0.0
195,44321.65818641357,57631.732174,57705.414348,57558.05,0.0
196,44321.658245353225,57640.601813,57715.78,57565.423627,0.0
197,44321.658305966645,57651.139663,57723.449327,57578.83,0.0
198,44321.65836502172,57640.492765,57714.61,57566.375531,0.0
199,44321.65842403064,57683.582217,57752.364434,57614.8,0.0
200,44321.65848447089,57677.415,57746.13,57608.7,0.0
201,44321.6585442186,57675.17,57744.42,57605.92,0.0
202,44321.65860322749,57679.23,57745.17,57613.29,0.0
203,44321.65866217871,57678.475,57751.75,57605.2,0.0
204,44321.65872268823,57681.95,57754.68,57609.22,0.0
205,44321.65878163941,57681.323348,57756.666697,57605.98,0.0
206,44321.65884065986,57696.163836,57768.76,57623.567672,0.0
207,44321.6589000497,57675.061911,57751.16,57598.963822,0.0
208,44321.658958920096,57691.256921,57762.6,57619.913843,0.0
209,44321.65901784826,57696.86,57763.58,57630.14,0.0
210,44321.65907700714,57699.59,57768.45,57630.73,0.0
211,44321.659136027614,57698.2,57767.78,57628.62,0.0
212,44321.659195071144,57695.026909,57771.46,57618.593819,0.0
213,44321.659254160855,57683.63719,57759.605913,57607.668467,0.0
214,44321.65931322751,57667.269854,57742.169708,57592.37,0.0
215,44321.65937222485,57620.077156,57641.954313,57598.2,0.0
216,44321.65943141847,57654.348024,57731.92084,57576.775208,0.0
217,44321.659490519705,57644.98678,57714.55,57575.42356,0.0
218,44321.659549574804,57672.795,57739.19,57606.4,0.0
219,44321.659608699476,57665.66,57725.56,57605.76,0.0
