,time,mark,ask,bid
0,44308.840575196875,50233.087814,50248.825628,50217.35
1,44308.84058803686,50222.495,50240.08,50204.91
2,44308.84060080736,50222.244588,50238.529176,50205.96
3,44308.84061368036,50222.51,50240.09,50204.93
4,44308.84062646953,50219.93,50237.51,50202.35
