,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,,
0,2021-04-19T21:28:30Z,0.395135,0.395047,0.397155,0.391454,0,reg,FALSE,DOGEUSD,,,
1,2021-04-19T21:28:45Z,0.393363,0.396038,0.39701,0.390583,0,reg,FALSE,DOGEUSD,buy,,
2,2021-04-19T21:29:00Z,0.395988,0.394992,0.397031,0.390635,0,reg,FALSE,DOGEUSD,sell,,
3,2021-04-19T21:29:15Z,0.393386,0.393813,0.396648,0.391333,0,reg,FALSE,DOGEUSD,buy,,
4,2021-04-19T21:29:30Z,0.394667,0.393893,0.396364,0.390216,0,reg,FALSE,DOGEUSD,sell,,
5,2021-04-19T21:29:45Z,0.393893,0.393155,0.395334,0.389094,0,reg,FALSE,DOGEUSD,hold,,
6,2021-04-19T21:30:00Z,0.392922,0.39354,0.395643,0.389165,0,reg,FALSE,DOGEUSD,buy,,
7,2021-04-19T21:30:15Z,0.39354,0.393329,0.394448,0.388448,0,reg,FALSE,DOGEUSD,hold,,
8,2021-04-19T21:30:30Z,0.394664,0.393518,0.39533,0.389815,0,reg,FALSE,DOGEUSD,sell,,
9,2021-04-19T21:30:45Z,0.3935,0.39377,0.395584,0.389266,0,reg,FALSE,DOGEUSD,buy,,
10,2021-04-19T21:31:00Z,0.393898,0.395426,0.39681,0.39159,0,reg,FALSE,DOGEUSD,hold,,
11,2021-04-19T21:31:15Z,0.395149,0.395328,0.397174,0.391633,0,reg,FALSE,DOGEUSD,hold,,
12,2021-04-19T21:31:30Z,0.395303,0.395878,0.397352,0.391427,0,reg,FALSE,DOGEUSD,hold,,
13,2021-04-19T21:31:45Z,0.395637,0.395685,0.397207,0.391785,0,reg,FALSE,DOGEUSD,hold,,
14,2021-04-19T21:32:00Z,0.395903,0.396067,0.397465,0.391797,0,reg,FALSE,DOGEUSD,sell,,
15,2021-04-19T21:32:15Z,0.395827,0.396193,0.397871,0.391499,0,reg,FALSE,DOGEUSD,buy,,
16,2021-04-19T21:32:30Z,0.396193,0.395999,0.397835,0.392501,0,reg,FALSE,DOGEUSD,sell,,
17,2021-04-19T21:32:45Z,0.396107,0.396549,0.397933,0.392471,0,reg,FALSE,DOGEUSD,hold,,
18,2021-04-19T21:33:00Z,0.395983,0.395726,0.397878,0.392205,0,reg,FALSE,DOGEUSD,hold,,
19,2021-04-19T21:33:15Z,0.395726,0.395499,0.397304,0.391725,0,reg,FALSE,DOGEUSD,hold,,
20,2021-04-19T21:33:30Z,0.395499,0.395879,0.39737,0.391719,0,reg,FALSE,DOGEUSD,buy,,
21,2021-04-19T21:33:45Z,0.396312,0.395661,0.39734,0.39138,0,reg,FALSE,DOGEUSD,sell,,
22,2021-04-19T21:34:00Z,0.395882,0.396063,0.397785,0.391974,0,reg,FALSE,DOGEUSD,buy,,
23,2021-04-19T21:34:15Z,0.396063,0.396369,0.397932,0.391938,0,reg,FALSE,DOGEUSD,hold,,
24,2021-04-19T21:34:30Z,0.396369,0.396682,0.398073,0.392308,0,reg,FALSE,DOGEUSD,hold,,
25,2021-04-19T21:34:45Z,0.396682,0.396689,0.398446,0.392767,0,reg,FALSE,DOGEUSD,hold,,
26,2021-04-19T21:35:00Z,0.39669,0.396297,0.398454,0.392691,0,reg,FALSE,DOGEUSD,sell,,
27,2021-04-19T21:35:15Z,0.396216,0.396765,0.398099,0.392619,0,reg,FALSE,DOGEUSD,buy,,
28,2021-04-19T21:35:30Z,0.396765,0.396402,0.398249,0.389607,0,reg,FALSE,DOGEUSD,sell,,
29,2021-04-19T21:35:45Z,0.396402,0.396451,0.398022,0.391949,0,reg,FALSE,DOGEUSD,buy,,
30,2021-04-19T21:36:00Z,0.396451,0.396661,0.398084,0.39245,0,reg,FALSE,DOGEUSD,hold,,
31,2021-04-19T21:36:15Z,0.396661,0.395765,0.398296,0.392062,0,reg,FALSE,DOGEUSD,sell,,
32,2021-04-19T21:36:30Z,0.395765,0.39645,0.397644,0.3922,0,reg,FALSE,DOGEUSD,buy,,
33,2021-04-19T21:36:45Z,0.39645,0.396223,0.397999,0.392011,0,reg,FALSE,DOGEUSD,sell,,
34,2021-04-19T21:37:00Z,0.396223,0.39657,0.398042,0.392414,0,reg,FALSE,DOGEUSD,buy,,
35,2021-04-19T21:37:15Z,0.396859,0.396617,0.398588,0.392125,0,reg,FALSE,DOGEUSD,sell,,
36,2021-04-19T21:37:30Z,0.39678,0.39628,0.397907,0.391166,0,reg,FALSE,DOGEUSD,hold,,
37,2021-04-19T21:37:45Z,0.396581,0.396648,0.398149,0.39254,0,reg,FALSE,DOGEUSD,buy,,
38,2021-04-19T21:38:00Z,0.396859,0.396766,0.39829,0.392625,0,reg,FALSE,DOGEUSD,sell,,
39,2021-04-19T21:38:15Z,0.396766,0.397351,0.398786,0.393219,0,reg,FALSE,DOGEUSD,buy,,
40,2021-04-19T21:38:30Z,0.397108,0.396635,0.398536,0.392729,0,reg,FALSE,DOGEUSD,sell,,
41,2021-04-19T21:38:45Z,0.396793,0.396024,0.398585,0.392513,0,reg,FALSE,DOGEUSD,hold,,
42,2021-04-19T21:39:00Z,0.396249,0.395761,0.397926,0.391921,0,reg,FALSE,DOGEUSD,hold,,
43,2021-04-19T21:39:15Z,0.395761,0.395199,0.397118,0.391167,0,reg,FALSE,DOGEUSD,hold,,
