,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
0,2021-04-20T22:26:15Z,0.338405,0.341437,0.342628,0.336763,0,reg,False,DOGEUSD
1,2021-04-20T22:26:30Z,0.341300,0.341045,0.342674,0.335265,0,reg,False,DOGEUSD
2,2021-04-20T22:26:45Z,0.341551,0.337784,0.342694,0.333474,0,reg,False,DOGEUSD
3,2021-04-20T22:27:00Z,0.337784,0.338489,0.341691,0.333749,0,reg,False,DOGEUSD
4,2021-04-20T22:27:15Z,0.338489,0.337368,0.341284,0.333155,0,reg,False,DOGEUSD
5,2021-04-20T22:27:30Z,0.337368,0.338114,0.339520,0.333798,0,reg,False,DOGEUSD
6,2021-04-20T22:27:45Z,0.338114,0.336978,0.339478,0.333679,0,reg,False,DOGEUSD
7,2021-04-20T22:28:00Z,0.336978,0.335859,0.338787,0.331960,0,reg,False,DOGEUSD
8,2021-04-20T22:28:15Z,0.335859,0.336634,0.337778,0.332143,0,reg,False,DOGEUSD
9,2021-04-20T22:28:30Z,0.336634,0.333945,0.337089,0.332089,0,reg,False,DOGEUSD
10,2021-04-20T22:28:45Z,0.333882,0.337477,0.339960,0.332250,0,reg,False,DOGEUSD
11,2021-04-20T22:29:00Z,0.337477,0.335771,0.340123,0.333674,0,reg,False,DOGEUSD
12,2021-04-20T22:29:15Z,0.335771,0.337401,0.340633,0.334498,0,reg,False,DOGEUSD
13,2021-04-20T22:29:30Z,0.336082,0.336486,0.340044,0.334571,0,reg,False,DOGEUSD
14,2021-04-20T22:29:45Z,0.338004,0.337401,0.340029,0.334608,0,reg,False,DOGEUSD
15,2021-04-20T22:30:00Z,0.337200,0.336708,0.339444,0.334199,0,reg,False,DOGEUSD
16,2021-04-20T22:30:15Z,0.336757,0.338731,0.341294,0.335645,0,reg,False,DOGEUSD
17,2021-04-20T22:30:30Z,0.338760,0.340034,0.342972,0.336724,0,reg,False,DOGEUSD
18,2021-04-20T22:30:45Z,0.340034,0.343860,0.345584,0.339054,0,reg,False,DOGEUSD
19,2021-04-20T22:31:00Z,0.344417,0.343850,0.345982,0.339639,0,reg,False,DOGEUSD
20,2021-04-20T22:31:15Z,0.343850,0.343212,0.345262,0.338779,0,reg,False,DOGEUSD
21,2021-04-20T22:31:30Z,0.343212,0.343995,0.345752,0.338767,0,reg,False,DOGEUSD
22,2021-04-20T22:31:45Z,0.343995,0.343580,0.345839,0.338968,0,reg,False,DOGEUSD
23,2021-04-20T22:32:00Z,0.343580,0.345008,0.346567,0.341307,0,reg,False,DOGEUSD
24,2021-04-20T22:32:15Z,0.344033,0.344976,0.347369,0.342325,0,reg,False,DOGEUSD
25,2021-04-20T22:32:30Z,0.344856,0.345122,0.347958,0.342107,0,reg,False,DOGEUSD
26,2021-04-20T22:32:45Z,0.345122,0.347468,0.348914,0.343234,0,reg,False,DOGEUSD
27,2021-04-20T22:33:00Z,0.347468,0.348339,0.350304,0.343978,0,reg,False,DOGEUSD
28,2021-04-20T22:33:15Z,0.349357,0.349439,0.350940,0.345437,0,reg,False,DOGEUSD
29,2021-04-20T22:33:30Z,0.348140,0.350411,0.352237,0.346410,0,reg,False,DOGEUSD
30,2021-04-20T22:33:45Z,0.350411,0.351135,0.352006,0.346816,0,reg,False,DOGEUSD
31,2021-04-20T22:34:00Z,0.350186,0.350148,0.352435,0.346485,0,reg,False,DOGEUSD
32,2021-04-20T22:34:15Z,0.351711,0.349303,0.352352,0.345968,0,reg,False,DOGEUSD
33,2021-04-20T22:34:30Z,0.349706,0.348039,0.351219,0.344466,0,reg,False,DOGEUSD
34,2021-04-20T22:34:45Z,0.348039,0.348014,0.350007,0.342868,0,reg,False,DOGEUSD
35,2021-04-20T22:35:00Z,0.347369,0.340860,0.348947,0.337589,0,reg,False,DOGEUSD
36,2021-04-20T22:35:15Z,0.340860,0.337708,0.344745,0.333979,0,reg,False,DOGEUSD
37,2021-04-20T22:35:30Z,0.336009,0.340468,0.343123,0.334784,0,reg,False,DOGEUSD
38,2021-04-20T22:35:45Z,0.339085,0.342143,0.345756,0.337200,0,reg,False,DOGEUSD
39,2021-04-20T22:36:00Z,0.342143,0.345422,0.345818,0.338894,0,reg,False,DOGEUSD
40,2021-04-20T22:36:15Z,0.344004,0.344228,0.346759,0.340596,0,reg,False,DOGEUSD
41,2021-04-20T22:36:30Z,0.344228,0.342900,0.346067,0.337956,0,reg,False,DOGEUSD
42,2021-04-20T22:36:45Z,0.342900,0.342165,0.343911,0.337025,0,reg,False,DOGEUSD
43,2021-04-20T22:37:00Z,0.340697,0.341939,0.343794,0.337286,0,reg,False,DOGEUSD
44,2021-04-20T22:37:15Z,0.340499,0.338261,0.342960,0.335159,0,reg,False,DOGEUSD
45,2021-04-20T22:37:30Z,0.338702,0.338124,0.340835,0.334422,0,reg,False,DOGEUSD
46,2021-04-20T22:37:45Z,0.338124,0.336996,0.340647,0.334675,0,reg,False,DOGEUSD
47,2021-04-20T22:38:00Z,0.336996,0.340473,0.343427,0.335494,0,reg,False,DOGEUSD
48,2021-04-20T22:38:15Z,0.340029,0.340952,0.343426,0.337907,0,reg,False,DOGEUSD
49,2021-04-20T22:38:30Z,0.340952,0.342107,0.343251,0.338150,0,reg,False,DOGEUSD
50,2021-04-20T22:38:45Z,0.342633,0.341988,0.343680,0.338142,0,reg,False,DOGEUSD
51,2021-04-20T22:39:00Z,0.341988,0.343936,0.346030,0.339208,0,reg,False,DOGEUSD
52,2021-04-20T22:39:15Z,0.345319,0.344342,0.346162,0.340408,0,reg,False,DOGEUSD
53,2021-04-20T22:39:30Z,0.342949,0.342988,0.344942,0.338092,0,reg,False,DOGEUSD
54,2021-04-20T22:39:45Z,0.342988,0.342455,0.344443,0.338686,0,reg,False,DOGEUSD
55,2021-04-20T22:40:00Z,0.342455,0.344131,0.346009,0.339083,0,reg,False,DOGEUSD
56,2021-04-20T22:40:15Z,0.343970,0.344394,0.345648,0.339840,0,reg,False,DOGEUSD
57,2021-04-20T22:40:30Z,0.344394,0.341947,0.345302,0.338899,0,reg,False,DOGEUSD
58,2021-04-20T22:40:45Z,0.341947,0.341385,0.343967,0.338816,0,reg,False,DOGEUSD
59,2021-04-20T22:41:00Z,0.341385,0.342042,0.344066,0.338523,0,reg,False,DOGEUSD
60,2021-04-20T22:41:15Z,0.340672,0.341293,0.343961,0.338127,0,reg,False,DOGEUSD
61,2021-04-20T22:41:30Z,0.341293,0.340066,0.343227,0.336891,0,reg,False,DOGEUSD
62,2021-04-20T22:41:45Z,0.340066,0.339741,0.340788,0.334849,0,reg,False,DOGEUSD
63,2021-04-20T22:42:00Z,0.338370,0.339234,0.341139,0.335394,0,reg,False,DOGEUSD
64,2021-04-20T22:42:15Z,0.339399,0.337498,0.340312,0.334334,0,reg,False,DOGEUSD
65,2021-04-20T22:42:30Z,0.338558,0.338074,0.338839,0.333663,0,reg,False,DOGEUSD
66,2021-04-20T22:42:45Z,0.338030,0.336814,0.338318,0.332263,0,reg,False,DOGEUSD
67,2021-04-20T22:43:00Z,0.336814,0.333376,0.337940,0.330887,0,reg,False,DOGEUSD
68,2021-04-20T22:43:15Z,0.333376,0.332197,0.335835,0.329214,0,reg,False,DOGEUSD
69,2021-04-20T22:43:30Z,0.333389,0.335876,0.336385,0.329670,0,reg,False,DOGEUSD
70,2021-04-20T22:43:45Z,0.335876,0.335499,0.337129,0.331577,0,reg,False,DOGEUSD
71,2021-04-20T22:44:00Z,0.334087,0.335570,0.337374,0.330449,0,reg,False,DOGEUSD
72,2021-04-20T22:44:15Z,0.335669,0.332956,0.336185,0.330967,0,reg,False,DOGEUSD
73,2021-04-20T22:44:30Z,0.333117,0.332538,0.334973,0.329585,0,reg,False,DOGEUSD
74,2021-04-20T22:44:45Z,0.332865,0.331783,0.334213,0.328715,0,reg,False,DOGEUSD
75,2021-04-20T22:45:00Z,0.331783,0.332553,0.334767,0.329020,0,reg,False,DOGEUSD
76,2021-04-20T22:45:15Z,0.332553,0.333456,0.335751,0.329818,0,reg,False,DOGEUSD
77,2021-04-20T22:45:30Z,0.334832,0.333792,0.336313,0.330577,0,reg,False,DOGEUSD
78,2021-04-20T22:45:45Z,0.333792,0.335076,0.336645,0.330630,0,reg,False,DOGEUSD
79,2021-04-20T22:46:00Z,0.335134,0.335951,0.338892,0.330701,0,reg,False,DOGEUSD
80,2021-04-20T22:46:15Z,0.335951,0.339826,0.341641,0.334996,0,reg,False,DOGEUSD
81,2021-04-20T22:46:30Z,0.339826,0.339993,0.342130,0.336373,0,reg,False,DOGEUSD
82,2021-04-20T22:46:45Z,0.339993,0.340894,0.342408,0.336361,0,reg,False,DOGEUSD
83,2021-04-20T22:47:00Z,0.339591,0.339118,0.342472,0.335518,0,reg,False,DOGEUSD
84,2021-04-20T22:47:15Z,0.337673,0.339585,0.342282,0.336212,0,reg,False,DOGEUSD
85,2021-04-20T22:47:30Z,0.339585,0.340842,0.342085,0.336792,0,reg,False,DOGEUSD
86,2021-04-20T22:47:45Z,0.340842,0.338931,0.341181,0.335490,0,reg,False,DOGEUSD
87,2021-04-20T22:48:00Z,0.338931,0.337759,0.341185,0.335471,0,reg,False,DOGEUSD
88,2021-04-20T22:48:15Z,0.337759,0.335076,0.339663,0.332776,0,reg,False,DOGEUSD
89,2021-04-20T22:48:30Z,0.336293,0.336107,0.337728,0.331771,0,reg,False,DOGEUSD
90,2021-04-20T22:48:45Z,0.336076,0.333057,0.336749,0.331564,0,reg,False,DOGEUSD
91,2021-04-20T22:49:00Z,0.333057,0.332105,0.335009,0.329286,0,reg,False,DOGEUSD
92,2021-04-20T22:49:15Z,0.332099,0.328023,0.333920,0.324560,0,reg,False,DOGEUSD
93,2021-04-20T22:49:30Z,0.326908,0.327655,0.330667,0.324727,0,reg,False,DOGEUSD
94,2021-04-20T22:49:45Z,0.327655,0.329513,0.329641,0.324751,0,reg,False,DOGEUSD
95,2021-04-20T22:50:00Z,0.328177,0.332539,0.333551,0.325670,0,reg,False,DOGEUSD
96,2021-04-20T22:50:15Z,0.331320,0.331019,0.332803,0.328350,0,reg,False,DOGEUSD
97,2021-04-20T22:50:30Z,0.331019,0.328297,0.332206,0.326742,0,reg,False,DOGEUSD
98,2021-04-20T22:50:45Z,0.328253,0.329000,0.330261,0.324713,0,reg,False,DOGEUSD
99,2021-04-20T22:51:00Z,0.327717,0.328333,0.330172,0.324622,0,reg,False,DOGEUSD
