,time,mark,ask,bid,vol
0,44337.14694582261,37514.444377,37578.56,37450.328755,0.0
1,44337.1470048079,37540.735,37600.08,37481.39,0.0
2,44337.147064764016,37555.307034,37616.98,37493.634068,0.0
3,44337.14712403491,37540.725,37603.04,37478.41,0.0
4,44337.14718303954,37548.385915,37612.565691,37484.20614,0.0
5,44337.14724192881,37562.590301,37625.380602,37499.8,0.0
6,44337.147301713005,37569.279092,37627.338184,37511.22,0.0
7,44337.14736171756,37603.879697,37665.639394,37542.12,0.0
8,44337.14742113256,37604.341524,37667.073049,37541.61,0.0
9,44337.147480071144,37615.495,37674.06,37556.93,0.0
10,44337.14753940579,37607.091817,37668.329115,37545.85452,0.0
11,44337.1475983731,37609.205,37669.28,37549.13,0.0
12,44337.14765886262,37612.725,37670.33,37555.12,0.0
13,44337.147718830936,37594.68,37657.7,37531.66,0.0
14,44337.147778627346,37589.341992,37655.338184,37523.345801,0.0
15,44337.14783798705,37585.798087,37648.766175,37522.83,0.0
16,44337.14789732632,37590.998176,37654.766353,37527.23,0.0
17,44337.14795728799,37585.816314,37649.905244,37521.727384,0.0
18,44337.14801655288,37570.645,37636.31,37504.98,0.0
19,44337.14807634922,37566.741564,37630.693129,37502.79,0.0
20,44337.14813520568,37556.403406,37616.49,37496.316812,0.0
21,44337.14819429524,37542.66,37600.93,37484.39,0.0
22,44337.14825424883,37531.1,37594.55,37467.65,0.0
23,44337.14831324547,37510.412941,37575.4,37445.425882,0.0
24,44337.14837228452,37502.7,37563.66,37441.74,0.0
25,44337.14843128787,37494.534109,37555.02,37434.048219,0.0
26,44337.14849025474,37489.93307,37551.66,37428.20614,0.0
27,44337.14855025644,37495.425,37556.26,37434.59,0.0
28,44337.14860922474,37497.063552,37554.887104,37439.24,0.0
29,44337.148668323185,37505.54,37567.34,37443.74,0.0
30,44337.14872756544,37478.261316,37537.082632,37419.44,0.0
31,44337.14878658406,37463.738741,37524.847483,37402.63,0.0
32,44337.14884607553,37451.341493,37509.282987,37393.4,0.0
33,44337.148905154405,37436.214756,37499.640601,37372.788911,0.0
34,44337.148964177664,37439.379116,37501.17,37377.588232,0.0
35,44337.149023113474,37450.815,37512.51,37389.12,0.0
36,44337.14908294251,37440.415,37500.53,37380.3,0.0
37,44337.14914188584,37449.38,37509.18,37389.58,0.0
38,44337.14920092506,37442.795,37504.48,37381.11,0.0
39,44337.14925987608,37436.757482,37501.308824,37372.20614,0.0
40,44337.14931981052,37426.925033,37491.40956,37362.440507,0.0
41,44337.14937960861,37472.140549,37521.76,37422.521098,0.0
42,44337.14943902593,37512.63592,37573.32,37451.951841,0.0
43,44337.14949836264,37510.34,37564.01,37456.67,0.0
44,44337.14955732613,37537.25,37591.36,37483.14,0.0
45,44337.14961637578,37556.835,37610.1,37503.57,0.0
46,44337.14967635765,37570.159092,37627.338184,37512.98,0.0
47,44337.1497354666,37564.14,37618.76,37509.52,0.0
48,44337.14979449278,37548.645,37609.51,37487.78,0.0
49,44337.14985447965,37561.610977,37624.24,37498.981955,0.0
50,44337.14991349461,37573.054534,37637.959068,37508.15,0.0
51,44337.14997338519,37576.910843,37642.993483,37510.828204,0.0
52,44337.15003225119,37574.108361,37638.06,37510.156723,0.0
53,44337.15009154674,37544.509526,37610.497954,37478.521098,0.0
54,44337.150151585316,37538.171034,37600.232068,37476.11,0.0
55,44337.15021147192,37525.20295,37586.4359,37463.97,0.0
56,44337.15027125567,37542.125836,37599.911672,37484.34,0.0
57,44337.15033017129,37531.256724,37592.143449,37470.37,0.0
58,44337.15038911312,37531.9,37587.32,37476.48,0.0
59,44337.15044802243,37511.235,37570.87,37451.6,0.0
60,44337.15050702364,37517.066513,37577.22,37456.913026,0.0
61,44337.15056634808,37502.446834,37564.83,37440.063668,0.0
62,44337.15062527183,37500.97,37562.61,37439.33,0.0
63,44337.15068412252,37494.840895,37553.57,37436.111791,0.0
64,44337.15074431674,37507.31,37566.74,37447.88,0.0
65,44337.150805059246,37531.860234,37595.470468,37468.25,0.0
66,44337.15086411862,37537.504092,37599.338184,37475.67,0.0
67,44337.15092314898,37533.950471,37597.020942,37470.88,0.0
68,44337.15098412062,37533.129092,37599.338184,37466.92,0.0
69,44337.15104452311,37534.428876,37597.2,37471.657752,0.0
70,44337.151103900775,37546.48,37607.65,37485.31,0.0
71,44337.1511628282,37542.46655,37607.14,37477.793101,0.0
72,44337.151221820175,37539.855037,37605.944657,37473.765417,0.0
73,44337.15128172692,37576.88,37644.24,37509.52,0.0
74,44337.15134072891,37573.929706,37636.36,37511.499413,0.0
75,44337.151399664224,37567.485,37631.59,37503.38,0.0
76,44337.15145893311,37596.184325,37657.04865,37535.32,0.0
77,44337.151518702136,37592.69,37656.88,37528.5,0.0
78,44337.151577680146,37609.548757,37672.31,37546.787514,0.0
79,44337.1516376482,37595.35,37662.53,37528.17,0.0
80,44337.15169659095,37569.325,37633.79,37504.86,0.0
81,44337.15175547392,37579.415,37646.48,37512.35,0.0
82,44337.151815334735,37596.371342,37660.122684,37532.62,0.0
83,44337.15187515769,37599.559161,37661.208322,37537.91,0.0
84,44337.151934153226,37585.484398,37648.59,37522.378796,0.0
85,44337.15199361623,37585.545,37649.57,37521.52,0.0
86,44337.152052720514,37577.265411,37638.22,37516.310822,0.0
87,44337.15211186179,37584.49139,37649.68278,37519.3,0.0
88,44337.15217104703,37564.954257,37626.66,37503.248514,0.0
89,44337.152229952946,37578.45,37638.73,37518.17,0.0
90,44337.152288908626,37566.070594,37629.471188,37502.67,0.0
91,44337.15234785504,37576.065157,37637.720315,37514.41,0.0
92,44337.152407366324,37575.640157,37637.720315,37513.56,0.0
93,44337.15246637658,37597.075,37662.08,37532.07,0.0
94,44337.152525342535,37591.545148,37655.597677,37527.49262,0.0
95,44337.152584354364,37609.562182,37672.164364,37546.96,0.0
96,44337.15264332527,37589.665,37651.35,37527.98,0.0
97,44337.152702315994,37588.12,37647.57,37528.67,0.0
98,44337.15276137923,37604.34,37663.12,37545.56,0.0
99,44337.15282051952,37604.434747,37665.19,37543.679495,0.0
100,44337.152879801004,37569.630949,37632.81,37506.451899,0.0
101,44337.15293832348,37577.839747,37640.0,37515.679495,0.0
102,44337.15299704362,37576.864747,37638.05,37515.679495,0.0
103,44337.15305610495,37575.35349,37636.65,37514.056981,0.0
104,44337.15311508542,37577.453612,37637.877225,37517.03,0.0
105,44337.153174180254,37581.127473,37644.404946,37517.85,0.0
106,44337.15323362555,37581.315,37642.27,37520.36,0.0
107,44337.15329262775,37588.77029,37647.360581,37530.18,0.0
108,44337.153351674475,37572.905036,37635.400072,37510.41,0.0
109,44337.153410764615,37574.481191,37637.14,37511.822383,0.0
110,44337.15347119574,37582.515,37638.01,37527.02,0.0
111,44337.153530996235,37618.36,37672.61,37564.11,0.0
112,44337.15359078615,37604.348047,37669.361133,37539.334962,0.0
113,44337.15364981949,37609.034747,37674.39,37543.679495,0.0
114,44337.1537088406,37601.449686,37665.8,37537.099372,0.0
115,44337.15376778963,37596.423645,37659.16,37533.687291,0.0
116,44337.15382681359,37584.934712,37648.99,37520.879424,0.0
117,44337.1538857992,37588.182632,37651.935265,37524.43,0.0
118,44337.15394484886,37579.945815,37643.09,37516.80163,0.0
119,44337.15400381787,37608.967392,37671.58,37546.354784,0.0
120,44337.1540638417,37612.26,37672.54,37551.98,0.0
121,44337.15412325313,37629.56707,37683.43414,37575.7,0.0
122,44337.15418230145,37638.25,37699.14,37577.36,0.0
123,44337.15424151949,37643.62427,37707.76854,37579.48,0.0
124,44337.15430141467,37644.390336,37709.030672,37579.75,0.0
125,44337.15436103364,37644.934201,37707.64,37582.228403,0.0
126,44337.15442006502,37674.48707,37739.43414,37609.54,0.0
127,44337.15447913066,37676.730194,37739.43414,37614.026248,0.0
128,44337.15453815132,37667.090033,37730.71,37603.470067,0.0
129,44337.15459805224,37675.04,37737.74,37612.34,0.0
130,44337.15465697504,37669.14,37725.75,37612.53,0.0
131,44337.15471594924,37684.360201,37743.740403,37624.98,0.0
132,44337.154774928116,37694.09,37754.93,37633.25,0.0
133,44337.154833845096,37696.921695,37761.955936,37631.887455,0.0
134,44337.15489412356,37701.17,37766.63,37635.71,0.0
135,44337.15495429228,37700.673192,37765.926385,37635.42,0.0
136,44337.15501321183,37685.986857,37751.893714,37620.08,0.0
137,44337.1550722646,37702.140186,37767.43414,37636.846233,0.0
138,44337.15513234929,37687.662848,37751.605696,37623.72,0.0
139,44337.15519144521,37677.965,37738.66,37617.27,0.0
140,44337.15525075392,37693.144747,37758.61,37627.679495,0.0
141,44337.15531054939,37701.57,37762.31,37640.83,0.0
142,44337.155369576845,37692.298214,37754.79,37629.806428,0.0
143,44337.15542952141,37687.18,37746.54,37627.82,0.0
144,44337.15548901728,37674.79,37736.4,37613.18,0.0
145,44337.15554807125,37688.067591,37750.985183,37625.15,0.0
146,44337.15560743168,37671.765478,37732.290956,37611.24,0.0
147,44337.15566758657,37655.985465,37720.66,37591.31093,0.0
148,44337.15572651178,37651.828829,37714.953904,37588.703754,0.0
149,44337.15578573835,37649.085,37710.9,37587.27,0.0
150,44337.15584499522,37648.802118,37711.09,37586.514237,0.0
151,44337.15590421134,37639.715,37699.81,37579.62,0.0
152,44337.15596500593,37633.57412,37691.49,37575.658241,0.0
153,44337.15602385695,37629.639775,37693.505111,37565.77444,0.0
154,44337.156083696864,37647.285,37710.61,37583.96,0.0
155,44337.156142627566,37638.61,37700.76,37576.46,0.0
156,44337.156201847916,37631.565312,37693.56,37569.570625,0.0
157,44337.15626262661,37635.605,37697.88,37573.33,0.0
158,44337.15632281505,37628.816393,37690.31,37567.322787,0.0
159,44337.156382593654,37622.133724,37685.753212,37558.514237,0.0
160,44337.15644143707,37626.799472,37692.976232,37560.622713,0.0
161,44337.15650033164,37610.062591,37674.693307,37545.431876,0.0
162,44337.15656118767,37600.298674,37663.257349,37537.34,0.0
163,44337.15662007985,37576.37,37639.43,37513.31,0.0
164,44337.156679949956,37579.535,37643.25,37515.82,0.0
165,44337.15673973001,37569.945,37630.75,37509.14,0.0
166,44337.15679865523,37580.5,37640.99,37520.01,0.0
167,44337.156857978196,37569.195,37630.47,37507.92,0.0
168,44337.156918835775,37563.861176,37626.09,37501.632353,0.0
169,44337.1569778306,37580.78,37643.5,37518.06,0.0
170,44337.157037058794,37597.321917,37659.973834,37534.67,0.0
171,44337.15709600744,37587.434992,37651.413391,37523.456593,0.0
172,44337.15715505681,37583.32,37646.11,37520.53,0.0
173,44337.157214912244,37586.96,37644.66,37529.26,0.0
174,44337.15727400073,37572.276017,37635.33,37509.222034,0.0
175,44337.15733297937,37565.631752,37626.74,37504.523505,0.0
176,44337.157394152244,37573.981828,37636.88,37511.083656,0.0
177,44337.15745356131,37573.09,37634.8,37511.38,0.0
178,44337.157512576676,37564.257528,37626.25,37502.265056,0.0
179,44337.15757155869,37575.595,37636.03,37515.16,0.0
180,44337.15763058385,37577.121278,37638.582557,37515.66,0.0
181,44337.15768985164,37565.01,37626.39,37503.63,0.0
182,44337.15774954084,37559.545,37620.58,37498.51,0.0
183,44337.157808819924,37560.415,37617.4,37503.43,0.0
184,44337.157869137336,37552.680538,37615.121023,37490.240053,0.0
185,44337.15792902568,37561.47,37625.84,37497.1,0.0
186,44337.1579888069,37552.514706,37614.95,37490.079412,0.0
187,44337.158047774225,37556.129153,37619.690151,37492.568156,0.0
188,44337.158106805524,37554.16,37615.81,37492.51,0.0
189,44337.158165828114,37567.975,37629.62,37506.33,0.0
190,44337.1582256917,37569.401673,37633.283346,37505.52,0.0
191,44337.158286445345,37559.691972,37620.293944,37499.09,0.0
192,44337.158346219025,37562.99,37621.9,37504.08,0.0
193,44337.15840548117,37568.3917,37630.45,37506.333401,0.0
194,44337.15846480367,37583.451326,37646.81,37520.092652,0.0
195,44337.158523880855,37570.615,37631.31,37509.92,0.0
196,44337.15858282564,37564.24,37624.37,37504.11,0.0
197,44337.15864191425,37562.205,37623.37,37501.04,0.0
198,44337.15870087795,37559.066373,37619.15,37498.982746,0.0
199,44337.15875991829,37558.951079,37621.702158,37496.2,0.0
200,44337.1588198935,37555.555616,37617.9,37493.211232,0.0
201,44337.15887967294,37555.398167,37617.84,37492.956334,0.0
202,44337.158938600835,37562.941477,37627.297551,37498.585404,0.0
203,44337.15899856503,37567.072994,37628.755989,37505.39,0.0
204,44337.15905748925,37559.27635,37622.940082,37495.612619,0.0
205,44337.159116708375,37543.838046,37603.846092,37483.83,0.0
206,44337.15917569781,37548.114842,37611.63,37484.599684,0.0
207,44337.15923475143,37525.89,37587.19,37464.59,0.0
208,44337.1592938118,37506.865,37565.73,37448.0,0.0
209,44337.15935273559,37501.255,37562.67,37439.84,0.0
210,44337.1594115856,37505.0,37564.92,37445.08,0.0
211,44337.15947051327,37494.277051,37557.48,37431.074102,0.0
212,44337.15952948506,37489.491923,37554.77502,37424.208827,0.0
213,44337.15958858819,37490.971968,37554.613936,37427.33,0.0
214,44337.15964752465,37518.717108,37582.104217,37455.33,0.0
215,44337.15970646422,37533.773758,37593.727517,37473.82,0.0
216,44337.159767627134,37519.342141,37582.354282,37456.33,0.0
217,44337.15982664431,37504.665,37567.51,37441.82,0.0
218,44337.159885273635,37493.470333,37555.79,37431.150666,0.0
219,44337.15994395138,37499.645,37560.99,37438.3,0.0
220,44337.16000313883,37493.305,37550.21,37436.4,0.0
221,44337.16006215589,37493.32,37550.94,37435.7,0.0
222,44337.160123364614,37491.555,37551.04,37432.07,0.0
223,44337.16018259129,37491.875057,37552.470115,37431.28,0.0
224,44337.16024155914,37477.955,37534.81,37421.1,0.0
225,44337.16030057637,37501.105,37562.57,37439.64,0.0
226,44337.16036046511,37486.54,37549.51,37423.57,0.0
227,44337.16041961018,37469.655202,37527.59,37411.720405,0.0
228,44337.1604789513,37484.85,37543.94,37425.76,0.0
229,44337.160538262746,37478.365,37535.96,37420.77,0.0
230,44337.16059812139,37463.62,37522.38,37404.86,0.0
231,44337.160657572356,37469.145,37530.43,37407.86,0.0
232,44337.1607170877,37456.593394,37521.028625,37392.158164,0.0
233,44337.16077612245,37445.03909,37507.611937,37382.466244,0.0
234,44337.160835220835,37452.233899,37513.077798,37391.39,0.0
235,44337.160895088535,37468.286294,37533.399391,37403.173197,0.0
236,44337.160955796055,37455.335,37516.12,37394.55,0.0
237,44337.1610148123,37447.665866,37512.681732,37382.65,0.0
238,44337.161073710995,37441.2531,37505.13,37377.376201,0.0
239,44337.16113273072,37442.379236,37504.377506,37380.380967,0.0
240,44337.161193429965,37433.033071,37497.416358,37368.649784,0.0
241,44337.16125578041,37430.737864,37495.541595,37365.934133,0.0
242,44337.16131470256,37425.755216,37489.977422,37361.533011,0.0
243,44337.16137370925,37429.149308,37491.158616,37367.14,0.0
244,44337.16143273736,37455.275,37518.27,37392.28,0.0
245,44337.16149278611,37465.925,37524.89,37406.96,0.0
246,44337.16155181478,37458.705,37520.44,37396.97,0.0
247,44337.161610901705,37465.0,37524.36,37405.64,0.0
248,44337.16166983766,37459.505,37518.03,37400.98,0.0
249,44337.16172962697,37456.541248,37521.32,37391.762497,0.0
250,44337.16178857594,37447.31178,37508.6,37386.023561,0.0
251,44337.16184841079,37455.025,37517.35,37392.7,0.0
252,44337.16190769504,37472.119213,37535.788426,37408.45,0.0
253,44337.16196662749,37503.670804,37569.591609,37437.75,0.0
254,44337.162026585815,37520.323251,37584.496502,37456.15,0.0
255,44337.16208796351,37521.548818,37586.154964,37456.942673,0.0
256,44337.162146885625,37537.807629,37600.095259,37475.52,0.0
257,44337.16220592225,37513.347171,37578.19,37448.504343,0.0
258,44337.16226501612,37523.282132,37585.03,37461.534264,0.0
259,44337.16232435576,37536.845,37594.9,37478.79,0.0
260,44337.16238332893,37532.335,37594.46,37470.21,0.0
261,44337.16244226401,37522.246414,37586.355062,37458.137766,0.0
262,44337.16250146061,37530.01,37591.14,37468.88,0.0
263,44337.162560620236,37526.39,37587.57,37465.21,0.0
264,44337.162620480485,37529.895,37588.45,37471.34,0.0
265,44337.16267941933,37540.435,37600.03,37480.84,0.0
266,44337.16273922091,37549.31,37609.72,37488.9,0.0
267,44337.162798134385,37546.272169,37610.024338,37482.52,0.0
268,44337.16285759301,37553.415,37616.15,37490.68,0.0
269,44337.16291645504,37569.125,37629.56,37508.69,0.0
270,44337.162975397914,37570.281661,37632.193323,37508.37,0.0
271,44337.16303438531,37564.676623,37627.12,37502.233246,0.0
272,44337.163093368436,37571.195,37634.17,37508.22,0.0
273,44337.1631523239,37580.862104,37643.064209,37518.66,0.0
274,44337.163211262494,37586.133254,37648.666508,37523.6,0.0
275,44337.1632705282,37562.18051,37626.33746,37498.023561,0.0
276,44337.16332974698,37570.551661,37632.193323,37508.91,0.0
277,44337.163388807974,37554.955,37618.32,37491.59,0.0
278,44337.1634486948,37579.145075,37643.576233,37514.713917,0.0
279,44337.16350773236,37573.775,37635.5,37512.05,0.0
280,44337.1635666577,37561.68678,37625.35,37498.023561,0.0
281,44337.16362559237,37571.739529,37633.601704,37509.877354,0.0
282,44337.16368457827,37571.325476,37635.440952,37507.21,0.0
283,44337.16374457157,37576.860886,37638.161772,37515.56,0.0
284,44337.16380355006,37578.44,37640.85,37516.03,0.0
285,44337.16386253203,37565.085993,37627.82,37502.351986,0.0
286,44337.16392152043,37568.179432,37633.012881,37503.345984,0.0
287,44337.1639812595,37566.391521,37630.533042,37502.25,0.0
288,44337.16404102632,37540.815,37603.7,37477.93,0.0
289,44337.16409997215,37535.112195,37596.73,37473.49439,0.0
290,44337.16415899341,37524.516377,37587.39,37461.642755,0.0
291,44337.16421803251,37504.03678,37566.05,37442.023561,0.0
292,44337.164276985364,37499.005217,37560.880435,37437.13,0.0
293,44337.16433603463,37489.722455,37554.43,37425.01491,0.0
294,44337.16439592024,37502.730845,37566.951691,37438.51,0.0
295,44337.1644549159,37495.110397,37556.540795,37433.68,0.0
296,44337.16451385411,37492.004481,37555.843184,37428.165778,0.0
297,44337.164573728376,37479.693511,37542.577022,37416.81,0.0
